assists,blocked,evenTimeOnIce,evenTimeOnIcePerGame,faceOffPct,gameWinningGoals,games,goals,hits,overTimeGoals,penaltyMinutes,pim,plusMinus,points,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shifts,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,shotPct,shots,timeOnIce,timeOnIcePerGame,age,season,id
35,132,1908:59,23:16,100.0,0,82,8,72,0,34,34,15,43,3,17,309:16,03:46,2623,0,1,193:39,02:21,5.3,150,2411:54,29:24,29.0,20132014,8470600
28,74,1025:45,21:22,0.0,1,48,4,33,0,24,24,2,32,3,15,181:26,03:46,1486,0,0,102:14,02:07,4.4,91,1309:25,27:16,28.0,20122013,8470600
39,116,1616:39,20:27,0.0,1,79,7,46,0,30,30,15,46,3,25,291:46,03:41,2286,1,2,185:30,02:20,5.2,134,2093:55,26:30,27.0,20112012,8470600
35,84,1382:12,19:44,0.0,1,70,4,64,0,54,54,20,39,1,17,240:19,03:25,1989,0,1,141:35,02:01,3.5,115,1764:06,25:12,26.0,20102011,8470600
33,112,1546:59,18:51,0.0,1,82,4,55,1,48,48,4,37,2,17,263:31,03:12,2342,0,0,155:32,01:53,3.2,125,1966:02,23:58,25.0,20092010,8470600
33,71,1080:20,14:35,26.47,5,74,28,49,0,26,26,-2,61,10,16,214:41,02:54,1665,0,2,86:26,01:10,12.2,229,1381:27,18:40,34.0,20182019,8470610
9,37,587:34,13:59,41.66,4,42,15,26,0,14,14,0,24,2,3,101:04,02:24,877,0,0,28:51,00:41,12.6,119,717:29,17:04,33.0,20172018,8470610
23,69,973:07,14:06,61.53,4,69,19,46,0,30,30,-3,42,6,12,157:33,02:17,1541,0,0,71:56,01:02,9.8,194,1202:36,17:25,32.0,20162017,8470610
28,42,1092:54,15:36,0.0,7,70,25,71,0,36,36,-3,53,7,18,237:54,03:23,1628,0,0,19:38,00:16,10.7,234,1350:26,19:17,31.0,20152016,8470610
29,56,1146:11,15:29,16.66,3,74,33,86,0,41,41,21,62,11,16,243:59,03:17,1668,0,0,29:47,00:24,12.7,259,1419:57,19:11,30.0,20142015,8470610
27,45,1075:38,16:03,41.66,5,67,29,70,0,30,30,10,56,14,20,223:32,03:20,1674,1,1,69:23,01:02,11.8,245,1368:33,20:25,29.0,20132014,8470610
20,41,757:32,15:46,33.33,4,48,18,59,1,16,16,2,38,7,13,164:39,03:25,1258,0,0,69:49,01:27,9.9,182,992:00,20:40,28.0,20122013,8470610
38,39,1319:03,16:05,47.61,3,82,31,65,1,32,32,-5,69,7,14,282:36,03:26,2117,3,7,160:08,01:57,10.6,293,1761:47,21:29,27.0,20112012,8470610
3,6,201:16,15:28,36.36,1,13,3,13,0,6,6,-1,6,0,1,45:13,03:28,302,0,0,11:40,00:53,6.1,49,258:09,19:51,26.0,20102011,8470610
44,34,1304:58,16:06,37.5,5,81,38,108,1,32,32,24,82,9,26,251:53,03:06,2029,1,1,44:54,00:33,11.0,347,1601:45,19:46,25.0,20092010,8470610
27,51,818:52,19:29,0.0,1,42,4,77,0,69,69,4,31,1,16,128:33,03:03,991,0,0,75:39,01:48,3.5,115,1023:04,24:21,34.0,20182019,8470834
37,100,1380:00,20:00,0.0,1,69,8,147,0,112,112,15,45,4,22,211:27,03:03,1728,0,1,87:56,01:16,4.1,193,1679:23,24:20,33.0,20172018,8470834
39,124,1743:45,21:47,0.0,1,80,13,183,0,117,117,10,52,1,14,264:17,03:18,2327,0,2,187:32,02:20,5.4,241,2195:34,27:26,32.0,20162017,8470834
34,105,1606:51,19:50,0.0,6,81,19,222,0,119,119,4,53,3,17,271:51,03:21,2224,1,2,162:45,02:00,7.7,247,2041:27,25:12,31.0,20152016,8470834
27,59,1216:58,17:38,0.0,3,69,18,203,1,124,124,5,45,5,17,265:21,03:50,1721,0,1,83:09,01:12,8.6,209,1565:28,22:41,30.0,20142015,8470834
36,80,1403:49,17:59,0.0,1,78,20,213,1,86,86,-20,56,8,26,269:44,03:27,1978,0,0,127:09,01:37,7.8,256,1800:42,23:05,29.0,20132014,8470834
20,47,873:11,20:18,0.0,2,43,8,80,2,34,34,-1,28,4,10,154:07,03:35,1103,0,0,22:02,00:30,5.6,142,1049:20,24:24,28.0,20122013,8470834
41,57,1333:00,20:11,0.0,3,66,12,112,0,72,72,-8,53,4,19,230:27,03:29,1683,0,1,28:09,00:25,5.4,223,1591:36,24:06,27.0,20112012,8470834
33,72,1553:00,19:10,0.0,6,81,20,140,3,93,93,-2,53,8,24,326:51,04:02,2057,0,0,07:49,00:05,5.8,347,1887:40,23:18,26.0,20102011,8470834
17,38,1117:18,13:37,50.0,3,82,17,215,1,94,94,-7,34,6,11,223:04,02:43,1673,0,0,06:06,00:04,8.1,211,1346:28,16:25,25.0,20092010,8470834
71,53,1312:02,16:00,35.22,3,82,20,81,0,60,60,0,91,2,33,294:44,03:35,1979,2,3,91:26,01:06,8.7,231,1698:12,20:42,32.0,20182019,8471218
68,66,1282:47,15:50,45.85,2,81,23,94,0,52,52,13,91,6,40,254:47,03:08,2056,0,2,103:13,01:16,9.3,246,1640:47,20:15,31.0,20172018,8471218
48,51,1295:39,15:48,45.74,4,82,26,100,0,47,47,6,74,5,21,241:44,02:56,2150,2,3,114:16,01:23,10.0,259,1651:39,20:08,30.0,20162017,8471218
52,56,1258:04,15:20,35.71,5,82,26,92,2,49,49,8,78,3,17,258:46,03:09,2101,2,4,105:44,01:17,10.2,256,1622:34,19:47,29.0,20152016,8471218
35,54,1159:08,14:40,45.83,6,79,26,128,0,73,73,26,61,2,12,257:05,03:15,2051,4,5,137:03,01:44,10.7,244,1553:16,19:39,28.0,20142015,8471218
41,68,1246:32,15:12,37.5,4,82,28,150,2,63,63,4,69,8,19,215:41,02:37,1969,0,0,70:15,00:51,12.4,225,1532:28,18:41,27.0,20132014,8471218
22,39,761:11,15:51,22.22,2,48,19,90,0,28,28,-3,41,2,7,124:51,02:36,1097,0,0,16:23,00:20,14.7,129,902:25,18:48,26.0,20122013,8471218
47,46,1300:51,16:15,40.0,3,80,17,113,0,55,55,3,64,6,15,210:50,02:38,1739,0,0,14:21,00:10,8.2,208,1526:02,19:04,25.0,20112012,8471218
26,47,1099:15,13:34,35.13,2,81,18,74,0,46,46,10,44,0,5,107:44,01:19,1656,0,0,109:03,01:20,10.1,179,1316:02,16:14,24.0,20102011,8471218
